"","year","region","crime_rate","pop_density","pol_officer_rate","pov_rate","unemp_rate","med_age"
"238",1999,"north carolina",4633.3,157.046676792972,2.65,13,3.2,35
"239",1999,"north dakota",2326.2,9.18920485839348,1.7,13.9,3.4,35
"240",1999,"ohio",3680.1,274.876077454643,1.97,11.4,4.3,36
"241",1999,"oklahoma",4175.7,48.8941306658513,2.04,13.5,3.4,35
"242",1999,"oregon",4627.1,34.5409470636028,1.68,13.1,5.7,36
"243",1999,"pennsylvania",2693.2,267.60374832664,2.08,10.6,4.4,37
"244",1999,"rhode island",3295.4,948.325358851675,2.41,11.4,4.1,36
"245",1999,"south carolina",4477.3,129.055826774269,2.52,12.8,4.5,35
"246",1999,"south dakota",2477.4,9.65795298829978,1.64,11.7,2.9,35
"247",1999,"tennessee",3998.9,133.045440209612,2.55,13.2,4,35
"248",1999,"texas",4471.5,76.5289369793138,2.27,15.6,4.6,32
"249",1999,"utah",4700.9,25.9225002434038,2.3,7.9,3.7,27
"250",1999,"vermont",2703.5,64.2231592604606,1.61,9.6,3,37
"251",1999,"virginia",3059.2,173.569372190515,2.27,9.8,2.8,35
"252",1999,"washington",4878.3,86.4510896502005,1.6,9.2,4.7,35
"253",1999,"west virginia",2370,75.0197201810105,1.65,16.7,6.6,38
"254",1999,"wisconsin",3050.6,96.6601612843834,2.48,8.5,3,35
"255",1999,"wyoming",3222.5,4.94310282683693,2.55,11.9,4.9,35
"256",2000,"alabama",4059.7,87.6275862068966,2.29,14.6,4.6,35
"257",2000,"alaska",3682.5,1.09915949885514,1.85,8.3,6.6,32
"258",2000,"arizona",5297.8,45.1473222928143,2.03,13.6,3.9,34
"259",2000,"arkansas",3670,51.3374939990398,2.11,15.8,4.4,36
"260",2000,"california",3118.2,217.163534714342,2.15,14,4.9,33
"261",2000,"colorado",3648.6,41.4663305343732,2.4,8.5,2.7,34
"262",2000,"connecticut",NA,702.902992776058,2.2,7.6,2.3,37
"263",2000,"delaware",3793.6,400.818414322251,3.28,9.8,4,36
