"","year","region","med_age"
"901",2012,"north carolina",37
"902",2012,"north dakota",35
"903",2012,"ohio",39
"904",2012,"oklahoma",36
"905",2012,"oregon",38
"906",2012,"pennsylvania",40
"907",2012,"rhode island",39
"908",2012,"south carolina",38
"909",2012,"south dakota",36
"910",2012,"tennessee",38
"911",2012,"texas",33
"912",2012,"utah",29
"913",2012,"vermont",42
"914",2012,"virginia",37
"915",2012,"washington",37
"916",2012,"west virginia",41
"917",2012,"wisconsin",38
"918",2012,"wyoming",36
"919",2013,"alabama",38
"920",2013,"alaska",33
"921",2013,"arizona",36
"922",2013,"arkansas",37
"923",2013,"california",35
"924",2013,"colorado",36
"925",2013,"connecticut",40
"926",2013,"delaware",39
"927",2013,"district of columbia",33
"928",2013,"florida",41
"929",2013,"georgia",36
"930",2013,"hawaii",38
"931",2013,"idaho",35
"932",2013,"illinois",37
"933",2013,"indiana",37
"934",2013,"iowa",38
"935",2013,"kansas",36
"936",2013,"kentucky",38
"937",2013,"louisiana",36
"938",2013,"maine",43
"939",2013,"maryland",38
"940",2013,"massachusetts",39
"941",2013,"michigan",39
"942",2013,"minnesota",37
"943",2013,"mississippi",36
"944",2013,"missouri",38
"945",2013,"montana",39
"946",2013,"nebraska",36
"947",2013,"nevada",37
"948",2013,"new hampshire",42
"949",2013,"new jersey",39
"950",2013,"new mexico",36
"951",2013,"new york",38
"952",2013,"north carolina",38
"953",2013,"north dakota",35
"954",2013,"ohio",39
"955",2013,"oklahoma",36
"956",2013,"oregon",38
"957",2013,"pennsylvania",40
"958",2013,"rhode island",39
"959",2013,"south carolina",38
"960",2013,"south dakota",36
"961",2013,"tennessee",38
"962",2013,"texas",34
"963",2013,"utah",30
"964",2013,"vermont",42
"965",2013,"virginia",37
"966",2013,"washington",37
"967",2013,"west virginia",41
"968",2013,"wisconsin",38
"969",2013,"wyoming",36
"970",2014,"alabama",38
"971",2014,"alaska",33
"972",2014,"arizona",37
"973",2014,"arkansas",37
"974",2014,"california",35
"975",2014,"colorado",36
"976",2014,"connecticut",40
"977",2014,"delaware",39
"978",2014,"district of columbia",33
"979",2014,"florida",41
"980",2014,"georgia",36
"981",2014,"hawaii",38
"982",2014,"idaho",35
"983",2014,"illinois",37
"984",2014,"indiana",37
"985",2014,"iowa",37
"986",2014,"kansas",36
"987",2014,"kentucky",38
"988",2014,"louisiana",36
"989",2014,"maine",44
"990",2014,"maryland",38
"991",2014,"massachusetts",39
"992",2014,"michigan",39
"993",2014,"minnesota",37
"994",2014,"mississippi",36
"995",2014,"missouri",38
"996",2014,"montana",39
"997",2014,"nebraska",36
"998",2014,"nevada",37
"999",2014,"new hampshire",42
"1000",2014,"new jersey",39
"1001",2014,"new mexico",37
"1002",2014,"new york",38
"1003",2014,"north carolina",38
"1004",2014,"north dakota",34
"1005",2014,"ohio",39
"1006",2014,"oklahoma",36
"1007",2014,"oregon",39
"1008",2014,"pennsylvania",40
"1009",2014,"rhode island",39
"1010",2014,"south carolina",38
"1011",2014,"south dakota",36
"1012",2014,"tennessee",38
"1013",2014,"texas",34
"1014",2014,"utah",30
"1015",2014,"vermont",42
"1016",2014,"virginia",37
"1017",2014,"washington",37
"1018",2014,"west virginia",41
"1019",2014,"wisconsin",39
"1020",2014,"wyoming",36
"1021",2015,"alabama",38
"1022",2015,"alaska",33
"1023",2015,"arizona",37
"1024",2015,"arkansas",37
"1025",2015,"california",36
"1026",2015,"colorado",36
"1027",2015,"connecticut",40
"1028",2015,"delaware",39
"1029",2015,"district of columbia",33
"1030",2015,"florida",41
"1031",2015,"georgia",36
"1032",2015,"hawaii",38
"1033",2015,"idaho",35
"1034",2015,"illinois",37
"1035",2015,"indiana",37
